"GRUCODIGO";"CURCODIGO";"ESPCODIGO";"ANOCODIGO";"GRUNOPARTICIPANTE";"GRUESTADO"
"1";"1";"1";"1";"0";"1"
"2";"2";"1";"1";"0";"0"
"3";"3";"1";"1";"0";"0"
"4";"4";"1";"1";"0";"0"
"5";"5";"1";"1";"0";"0"
"6";"6";"1";"1";"0";"0"
"7";"7";"1";"1";"0";"0"
"8";"1";"2";"1";"0";"1"
"9";"2";"2";"1";"0";"0"
"10";"3";"2";"1";"0";"0"
"11";"4";"2";"1";"0";"0"
"12";"5";"2";"1";"0";"0"
"13";"6";"2";"1";"0";"0"
"14";"7";"2";"1";"0";"0"
"15";"8";"3";"1";"0";"1"
"16";"9";"3";"1";"0";"1"
"17";"8";"4";"1";"0";"1"
"18";"9";"4";"1";"0";"1"
"19";"13";"6";"1";"0";"1"
"20";"14";"6";"1";"0";"1"
"21";"15";"6";"1";"0";"1"
"22";"13";"7";"1";"0";"1"
"23";"14";"7";"1";"0";"1"
"24";"15";"7";"1";"0";"1"
"25";"10";"5";"1";"0";"1"
"26";"11";"5";"1";"0";"1"
"27";"12";"5";"1";"0";"1"
"28";"2";"8";"1";"0";"1"
"29";"3";"8";"1";"0";"1"
"30";"4";"8";"1";"0";"1"
"31";"2";"9";"1";"0";"1"
"32";"3";"9";"1";"0";"1"
"33";"4";"9";"1";"0";"1"
"34";"5";"10";"1";"0";"1"
"35";"6";"10";"1";"0";"1"
"36";"7";"10";"1";"0";"1"
"37";"5";"11";"1";"0";"1"
"38";"6";"11";"1";"0";"1"
"39";"7";"11";"1";"0";"1"
"40";"10";"14";"1";"0";"1"
"41";"11";"14";"1";"0";"1"
"42";"12";"14";"1";"0";"1"
"43";"13";"12";"1";"0";"1"
"44";"14";"12";"1";"0";"1"
"45";"15";"12";"1";"0";"1"
"46";"13";"13";"1";"0";"1"
"47";"15";"13";"1";"0";"1"
