"INDOCODIGO";"PERCODIGO";"INSCODIGO";"INDOID";"INDOFECHAI"
"1";"4";"1";NULL;NULL
"2";"6";"1";;"0000-00-00 00:00:00"
"3";"7";"1";;"0000-00-00 00:00:00"
"4";"8";"1";;"0000-00-00 00:00:00"
"5";"9";"1";;"0000-00-00 00:00:00"
"6";"10";"1";;"0000-00-00 00:00:00"
"7";"11";"1";;"0000-00-00 00:00:00"
"8";"12";"1";;"0000-00-00 00:00:00"
"9";"13";"1";;"0000-00-00 00:00:00"
"10";"14";"1";;"0000-00-00 00:00:00"
"11";"15";"1";;"0000-00-00 00:00:00"
"12";"16";"1";;"0000-00-00 00:00:00"
"13";"17";"1";;"0000-00-00 00:00:00"
"14";"18";"1";;"0000-00-00 00:00:00"
"15";"19";"1";;"0000-00-00 00:00:00"
"16";"20";"1";;"0000-00-00 00:00:00"
"17";"21";"1";;"0000-00-00 00:00:00"
"18";"22";"1";;"0000-00-00 00:00:00"
"19";"23";"1";;"0000-00-00 00:00:00"
"20";"24";"1";;"0000-00-00 00:00:00"
"21";"25";"1";;"0000-00-00 00:00:00"
"22";"26";"1";;"0000-00-00 00:00:00"
"23";"27";"1";;"0000-00-00 00:00:00"
"24";"28";"1";;"0000-00-00 00:00:00"
"25";"29";"1";;"0000-00-00 00:00:00"
"26";"30";"1";;"0000-00-00 00:00:00"
"27";"31";"1";;"0000-00-00 00:00:00"
"28";"32";"1";;"0000-00-00 00:00:00"
"29";"33";"1";;"0000-00-00 00:00:00"
"30";"34";"1";;"0000-00-00 00:00:00"
"31";"35";"1";;"0000-00-00 00:00:00"
"32";"36";"1";;"0000-00-00 00:00:00"
"33";"37";"1";;"0000-00-00 00:00:00"
"34";"38";"1";;"0000-00-00 00:00:00"
"35";"39";"1";;"0000-00-00 00:00:00"
"36";"40";"1";;"0000-00-00 00:00:00"
"37";"41";"1";;"0000-00-00 00:00:00"
"38";"42";"1";;"0000-00-00 00:00:00"
"39";"43";"1";;"0000-00-00 00:00:00"
"40";"44";"1";;"0000-00-00 00:00:00"
"41";"45";"1";;"0000-00-00 00:00:00"
"42";"46";"1";;"0000-00-00 00:00:00"
"43";"47";"1";;"0000-00-00 00:00:00"
"44";"48";"1";;"0000-00-00 00:00:00"
"45";"49";"1";;"0000-00-00 00:00:00"
"46";"50";"1";;"0000-00-00 00:00:00"
"47";"51";"1";;"0000-00-00 00:00:00"
"48";"52";"1";;"0000-00-00 00:00:00"
"49";"53";"1";;"0000-00-00 00:00:00"
"50";"54";"1";;"0000-00-00 00:00:00"
"51";"55";"1";;"0000-00-00 00:00:00"
"52";"56";"1";;"0000-00-00 00:00:00"
"53";"57";"1";;"0000-00-00 00:00:00"
"54";"58";"1";;"0000-00-00 00:00:00"
"55";"59";"1";;"0000-00-00 00:00:00"
"56";"60";"1";;"0000-00-00 00:00:00"
"57";"61";"1";;"0000-00-00 00:00:00"
"58";"62";"1";;"0000-00-00 00:00:00"
"59";"63";"1";;"0000-00-00 00:00:00"
"60";"64";"1";;"0000-00-00 00:00:00"
"61";"65";"1";;"0000-00-00 00:00:00"
"62";"66";"1";;"0000-00-00 00:00:00"
"63";"67";"1";;"0000-00-00 00:00:00"
"64";"68";"1";;"0000-00-00 00:00:00"
"65";"69";"1";;"0000-00-00 00:00:00"
"66";"70";"1";;"0000-00-00 00:00:00"
"67";"71";"1";;"0000-00-00 00:00:00"
"68";"72";"1";;"0000-00-00 00:00:00"
"69";"73";"1";;"0000-00-00 00:00:00"
"70";"74";"1";;"0000-00-00 00:00:00"
"71";"75";"1";;"0000-00-00 00:00:00"
"72";"76";"1";;"0000-00-00 00:00:00"
"73";"77";"1";;"0000-00-00 00:00:00"
"74";"78";"1";;"0000-00-00 00:00:00"
"75";"79";"1";;"0000-00-00 00:00:00"
"76";"80";"1";;"0000-00-00 00:00:00"
"77";"81";"1";;"0000-00-00 00:00:00"
"78";"82";"1";;"0000-00-00 00:00:00"
"79";"83";"1";;"0000-00-00 00:00:00"
"80";"84";"1";;"0000-00-00 00:00:00"
"81";"85";"1";;"0000-00-00 00:00:00"
"82";"86";"1";;"0000-00-00 00:00:00"
"83";"87";"1";;"0000-00-00 00:00:00"
"84";"88";"1";;"0000-00-00 00:00:00"
"85";"89";"1";;"0000-00-00 00:00:00"
"86";"90";"1";;"0000-00-00 00:00:00"
"87";"91";"1";;"0000-00-00 00:00:00"
"88";"92";"1";;"0000-00-00 00:00:00"
"89";"93";"1";;"0000-00-00 00:00:00"
"90";"94";"1";;"0000-00-00 00:00:00"
"91";"95";"1";;"0000-00-00 00:00:00"
"92";"96";"1";;"0000-00-00 00:00:00"
"93";"97";"1";;"0000-00-00 00:00:00"
"94";"98";"1";;"0000-00-00 00:00:00"
"95";"99";"1";;"0000-00-00 00:00:00"
"96";"100";"1";;"0000-00-00 00:00:00"
"97";"101";"1";;"0000-00-00 00:00:00"
"98";"102";"1";;"0000-00-00 00:00:00"
"99";"103";"1";;"0000-00-00 00:00:00"
"100";"104";"1";;"0000-00-00 00:00:00"
"101";"105";"1";;"0000-00-00 00:00:00"
"102";"106";"1";;"0000-00-00 00:00:00"
"103";"107";"1";;"0000-00-00 00:00:00"
"104";"108";"1";;"0000-00-00 00:00:00"
"105";"109";"1";;"0000-00-00 00:00:00"
"106";"110";"1";;"0000-00-00 00:00:00"
"107";"111";"1";;"0000-00-00 00:00:00"
"108";"112";"1";;"0000-00-00 00:00:00"
"109";"113";"1";;"0000-00-00 00:00:00"
"110";"15";"1";NULL;NULL
