"ESPCODIGO";"INSCODIGO";"ESPDESCRIPCION";"ESPOBSERVACION";"ESPESTADO";"ESPNOCREDITOS";"ESPSIGLAS";"ESPSECCION";"ESPORDEN"
"1";"0";"EDUCACION GENERAL BASICA PREPARATORIA";;"1";"0";"EGB-P-M";"MATUTINA";"2"
"2";"0";"EDUCACION GENERAL BASICA PREPARATORIA";;"1";"0";"EGB-P-V";"VESPERTINA";"2"
"3";"0";"EDUCACION INICIAL";;"1";"0";"INICIAL-M";"MATUTINA";"1"
"4";"0";"EDUCACION INICIAL";;"1";"0";"INICIAL-V";"VESPERTINA";"1"
"5";"0";"EDUCACION GENERAL BASICA SUPERIOR";;"1";"0";"EGBS-M";"MATUTINA";"5"
"6";"0";"BACHILLERATO BGU-CIENCIAS";;"1";"0";"BGU C-M";"MATUTINA";"6"
"7";"0";"BACHILLERATO TECNICO";;"1";"0";"BT-M";"MATUTINA";"7"
"8";"0";"EDUCACION GENERAL BASICA ELEMENTAL";;"1";"0";"EGB-E-M";"MATUTINA";"3"
"9";"0";"EDUCACION GENERAL BASICA ELEMENTAL";;"1";"0";"EGB-E-V";"VESPERTINA";"3"
"10";"0";"EDUCACION GENERAL BASICA MEDIA";;"1";"0";"EGB-M-M";"MATUTINA";"4"
"11";"0";"EDUCACION GENERAL BASICA MEDIA";;"1";"0";"EGB-M-V";"VESPERTINA";"4"
"12";"0";"BACHILLERATO BGU-CIENCIAS";;"1";"0";"BGU C-V";"VESPERTINA";"6"
"13";"0";"BACHILLERATO TECNICO";;"1";"0";"BT-V";"VESPERTINA";"7"
"14";"0";"EDUCACION GENERAL BASICA SUPERIOR";;"1";"0";"EGBS-V";"VESPERTINA";"5"
